skill_a,skill_b,path_a,path_b,score,status,actionable,scope_a,scope_b
geo,geo-content,geo,geo-content,0.069,clear,True,release,release
geo,geo-diagnose,geo,geo-diagnose,0.13,clear,True,release,release
geo,geo-discover,geo,geo-discover,0.082,clear,True,release,release
geo,geo-knowledge,geo,geo-knowledge,0.034,clear,True,release,release
geo,geo-measure,geo,geo-measure,0.034,clear,True,release,release
geo,geo-strategy,geo,geo-strategy,0.093,clear,True,release,release
geo,seo,geo,seo,0.015,clear,True,release,release
geo-content,geo-diagnose,geo-content,geo-diagnose,0.123,clear,True,release,release
geo-content,geo-discover,geo-content,geo-discover,0.032,clear,True,release,release
geo-content,geo-knowledge,geo-content,geo-knowledge,0.028,clear,True,release,release
geo-content,geo-measure,geo-content,geo-measure,0.058,clear,True,release,release
geo-content,geo-strategy,geo-content,geo-strategy,0.06,clear,True,release,release
geo-content,seo,geo-content,seo,0.053,clear,True,release,release
geo-diagnose,geo-discover,geo-diagnose,geo-discover,0.058,clear,True,release,release
geo-diagnose,geo-knowledge,geo-diagnose,geo-knowledge,0.016,clear,True,release,release
geo-diagnose,geo-measure,geo-diagnose,geo-measure,0.033,clear,True,release,release
geo-diagnose,geo-strategy,geo-diagnose,geo-strategy,0.07,clear,True,release,release
geo-diagnose,seo,geo-diagnose,seo,0.062,clear,True,release,release
geo-discover,geo-knowledge,geo-discover,geo-knowledge,0.032,clear,True,release,release
geo-discover,geo-measure,geo-discover,geo-measure,0.032,clear,True,release,release
geo-discover,geo-strategy,geo-discover,geo-strategy,0.016,clear,True,release,release
geo-discover,seo,geo-discover,seo,0.029,clear,True,release,release
geo-knowledge,geo-measure,geo-knowledge,geo-measure,0.059,clear,True,release,release
geo-knowledge,geo-strategy,geo-knowledge,geo-strategy,0.094,clear,True,release,release
geo-knowledge,seo,geo-knowledge,seo,0.04,clear,True,release,release
geo-measure,geo-strategy,geo-measure,geo-strategy,0.077,clear,True,release,release
geo-measure,seo,geo-measure,seo,0.04,clear,True,release,release
geo-strategy,seo,geo-strategy,seo,0.041,clear,True,release,release
